atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"using input pcap file"
atf_snf.info sll2:Y
atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp  comment:"using experiment directory extracted from pcap file name"
atf_snf.info tcp_pair_dir:/home/avorovich/arnd/temp/x2tmp/tcp_pairs
atf_snf.info  fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"PcapFileProcess start"
In_Seqmsg latency  seq_x2traf:40  "x2write->snf_read":488871:59:37.569861  "snf_write->snf_read":00:00:00.00075
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569879
In_Seqmsg latency  seq_x2traf:41  "x2write->snf_read":488871:59:37.569879  "snf_write->snf_read":00:00:00.000768
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569892
In_Seqmsg latency  seq_x2traf:42  "x2write->snf_read":488871:59:37.569892  "snf_write->snf_read":00:00:00.000781
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569909
In_Seqmsg latency  seq_x2traf:43  "x2write->snf_read":488871:59:37.569909  "snf_write->snf_read":00:00:00.000798
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.56992
In_Seqmsg latency  seq_x2traf:44  "x2write->snf_read":488871:59:37.56992  "snf_write->snf_read":00:00:00.000809
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569111  "ts_snf_read ":2025-10-08T11:59:37.569938
In_Seqmsg latency  seq_x2traf:45  "x2write->snf_read":488871:59:37.569938  "snf_write->snf_read":00:00:00.000827
