logging standalone files in cap_dir:/home/avorovich/pcap/cap
====--PcapFileProcess  fname:/home/avorovich/pcap/o1_missed_produce.pcap

FrameParseHeaders MAC  iframe:73  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:74  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:75  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:91

FrameParseHeaders MAC  iframe:76  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:77  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:78  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:04  ether_type_hex:" 00 08"  pkt_len:74
---  iframe:000000000078  tcp_pair_key:192.168.108.1:35132-192.168.108.4:1043  direction:1  th_flags:"SYN  02"  seq_rel:"000000000000:           "  seq_gap:"            "  tsval:003652815199  ts_ns:00000000003382195656  tcp_pay_len:000000
p_pay_hex:""
p_pay_asci:""

FrameParseHeaders MAC  iframe:79  mac_pair_key:00:00:00:00:08:04-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:74
---  iframe:000000000079  tcp_pair_key:192.168.108.4:1043-192.168.108.1:35132  direction:2  th_flags:"SYN ACK  12"  seq_rel:"000000000000:           "  seq_gap:"            "  tsval:000417377683  ts_ns:00000000003382242656  tcp_pay_len:000000
p_pay_hex:""
p_pay_asci:""

FrameParseHeaders MAC  iframe:80  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:04  ether_type_hex:" 00 08"  pkt_len:66
---  iframe:000000000080  tcp_pair_key:192.168.108.1:35132-192.168.108.4:1043  direction:1  th_flags:"ACK  10"  seq_rel:000000000001:000000000001  seq_gap:"            "  tsval:003652815199  ts_ns:00000000003382289656  tcp_pay_len:000000
p_pay_hex:""
p_pay_asci:""

FrameParseHeaders MAC  iframe:81  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:04  ether_type_hex:" 00 08"  pkt_len:110
---  iframe:000000000081  tcp_pair_key:192.168.108.1:35132-192.168.108.4:1043  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000001:000000000045  seq_gap:"            "  tsval:003652815199  ts_ns:00000000003382452656  tcp_pay_len:000044
p_pay_hex:" 00 00 00 28| 00 12 00 03| 00 00 00 00| 00 10 72 65| 64 70 61 6e| 64 61 2d 63| 6f 6e 73 6f| 6c 65 00 04| 6b 67 6f 08| 76 31 2e 31| 38 2e 30 00|"
p_pay_asci:"...(..........redpanda-console..kgo.v1.18.0."
swin_buf_n to be extended by frame  previous_swin_buf_n:0  tcp_pay_len_to_add:44  previous_offset:0
swin -start  kafkaDetectAndStore loop of validation  swin_buf_n:44  swin_offset:0  kafka_per_frame_count:0
swin_buf_elems:" 00 00 00 28| 00 12 00 03| 00 00 00 00| 00 10 72 65| 64 70 61 6e| 64 61 2d 63| 6f 6e 73 6f| 6c 65 00 04| 6b 67 6f 08| 76 31 2e 31| 38 2e 30 00|"
swin candidate Req  length:40  api_key:18  api_version:3  correlation_id:0  client_id_len:16  client_id_key:redpanda-console
+++++++++++++kafka req found
swin_buf_n:44  swin_offset:0
swin_buf_elems:" 00 00 00 28| 00 12 00 03| 00 00 00 00| 00 10 72 65| 64 70 61 6e| 64 61 2d 63| 6f 6e 73 6f| 6c 65 00 04| 6b 67 6f 08| 76 31 2e 31| 38 2e 30 00|"
req_hdr_hex___:" 00 00 00 28| 00 12 00 03| 00 00 00 00| 00 10"
fkafka request header req_length:40  api_key:18  api_key_str:ApiVersions  api_version:3  correlation_id:0  client_id_len:16
client_id_key:redpanda-console
kafka_pay_asci:..kgo.v1.1
kafka_pay_hex:" 00 04 6b 67| 6f 08 76 31| 2e 31"
kafka found.increasing swin_offset by kafka_len4:44  swin_buf_n:44  swin_offset:0
swin -end kafkaDetectAndStore loop of validation  swin_buf_n:44  swin_offset:44  kafka_per_frame_count:1  candidate:Y
swin_buf_n has been shifted (reduced) to  remaining:0  swin_buf_n:0  "offset before reset":44

FrameParseHeaders MAC  iframe:82  mac_pair_key:00:00:00:00:08:04-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:66
---  iframe:000000000082  tcp_pair_key:192.168.108.4:1043-192.168.108.1:35132  direction:2  th_flags:"ACK  10"  seq_rel:000000000001:000000000001  seq_gap:"            "  tsval:000417377684  ts_ns:00000000003382464656  tcp_pay_len:000000
p_pay_hex:""
p_pay_asci:""

FrameParseHeaders MAC  iframe:83  mac_pair_key:00:00:00:00:08:04-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:569
---  iframe:000000000083  tcp_pair_key:192.168.108.4:1043-192.168.108.1:35132  direction:2  th_flags:"PUSH ACK  18"  seq_rel:000000000001:000000000504  seq_gap:"            "  tsval:000417377687  ts_ns:00000000003385690656  tcp_pay_len:000503
p_pay_hex:" 00 00 01 f3| 00 00 00 00| 00 00 3e 00| 00 00 00 00| 0b 00 00 01| 00 00 00 11| 00 00 02 00| 00 00 09 00| 00 03 00 00| 00 0c 00 00| 08 00 00 00| 09 00 00 09| 00 00 00 09| 00 00 0a 00| 00 00 06 00| 00 0b 00 00| 00 09 00 00| 0c 00 00 00| 04 00 00 0d| 00 00 00 05| 00 00 0e 00| 00 00 05 00| 00 0f 00 00| 00 05 00 00| 10 00 00 00| 05 00 00 11| 00 00 00 01| 00 00 12 00| 00 00 04 00| 00 13 00 00| 00 07 00 00| 14 00 00 00| 06 00 00 15| 00 00 00 02| 00 00 16 00| 00 00 05 00| 00 17 00 00| 00 04 00 00| 18 00 00 00| 05 00 00 19| 00 00 00 04| 00 00 1a 00| 00 00 04 00| 00 1b 00 00| 00 01 00 00| 1c 00 00 00| 04 00 00 1d| 00 00 00 03| 00 00 1e 00| 00 00 03 00| 00_trunc_"
p_pay_asci:"..........>.............................................................................................................................................................................................._trunc_"
swin_buf_n to be extended by frame  previous_swin_buf_n:0  tcp_pay_len_to_add:503  previous_offset:0
swin -start  kafkaDetectAndStore loop of validation  swin_buf_n:503  swin_offset:0  kafka_per_frame_count:0
swin_buf_elems:" 00 00 01 f3| 00 00 00 00| 00 00 3e 00| 00 00 00 00| 0b 00 00 01| 00 00 00 11| 00 00 02 00| 00 00 09 00| 00 03 00 00| 00 0c 00 00| 08 00 00 00| 09 00 00 09| 00 00 00 09| 00 00 0a 00| 00 00 06 00| 00 0b 00 00| 00 09 00 00| 0c 00 00 00| 04 00 00 0d| 00 00 00 05| 00 00 0e 00| 00 00 05 00| 00 0f 00 00| 00 05 00 00| 10 00 00 00| 05 00 00 11| 00 00 00 01| 00 00 12 00| 00 00 04 00| 00 13 00 00| 00 07 00 00| 14 00 00 00| 06 00 00 15| 00 00 00 02| 00 00 16 00| 00 00 05 00| 00 17 00 00| 00 04 00 00| 18 00 00 00| 05 00 00 19| 00 00 00 04| 00 00 1a 00| 00 00 04 00| 00 1b 00 00| 00 01 00 00| 1c 00 00 00| 04 00 00 1d| 00 00 00 03| 00 00 1e 00| 00 00 03 00| 00_trunc_"
swin candidate Rsp  length:499  correlation_id:0
++++++++++++++kafka rsp found
swin_buf_n:503  swin_offset:0
swin_buf_elems:" 00 00 01 f3| 00 00 00 00| 00 00 3e 00| 00 00 00 00| 0b 00 00 01| 00 00 00 11| 00 00 02 00| 00 00 09 00| 00 03 00 00| 00 0c 00 00| 08 00 00 00| 09 00 00 09| 00 00 00 09| 00 00 0a 00| 00 00 06 00| 00 0b 00 00| 00 09 00 00| 0c 00 00 00| 04 00 00 0d| 00 00 00 05| 00 00 0e 00| 00 00 05 00| 00 0f 00 00| 00 05 00 00| 10 00 00 00| 05 00 00 11| 00 00 00 01| 00 00 12 00| 00 00 04 00| 00 13 00 00| 00 07 00 00| 14 00 00 00| 06 00 00 15| 00 00 00 02| 00 00 16 00| 00 00 05 00| 00 17 00 00| 00 04 00 00| 18 00 00 00| 05 00 00 19| 00 00 00 04| 00 00 1a 00| 00 00 04 00| 00 1b 00 00| 00 01 00 00| 1c 00 00 00| 04 00 00 1d| 00 00 00 03| 00 00 1e 00| 00 00 03 00| 00_trunc_"
-----------------
"kafka rsp_hdr_hex  ":" 00 00 01 f3| 00 00 00 00|"
fkafka response header rsp_length:499  correlation_id:0  swin_buf_n:503  swin_offset:0
kafka_pay_asci:"..>..................................................................................................................................................................................................... _trunc_"
